fip,state,pop,x,y,city
59821,MT,1432,-114.075978,47.186035,ARLEE
59803,MT,10444,-114.026528,46.822362,MISSOULA
59752,MT,1951,-111.543643,45.881068,THREE FORKS
55941,MN,1289,-91.345472,43.750856,HOKAH
59750,MT,440,-112.71586,46.003281,BUTTE
60018,IL,28884,-87.897882,42.015116,ROSEMONT
27954,NC,5726,-75.671418,35.894774,MANTEO
59741,MT,3461,-111.314577,45.79799,MANHATTAN
98263,WA,1887,-122.016183,48.525744,LYMAN
59736,MT,208,-113.465862,45.430725,JACKSON
59735,MT,434,-111.846135,45.742333,HARRISON
67567,KS,515,-98.981436,38.278193,PAWNEE ROCK
59733,MT,66,-112.97057,46.590025,GOLD CREEK
82633,WY,7502,-105.385484,42.762558,DOUGLAS
59730,MT,2807,-111.173407,45.609963,GALLATIN GATEWAY
28681,NC,19679,-81.212429,35.901046,TAYLORSVILLE
59725,MT,6972,-112.640452,45.23394,DILLON
46120,IN,7062,-86.814021,39.543442,CLOVERDALE
78027,TX,251,-98.516556,29.940619,KENDALIA
22842,VA,4601,-78.676655,38.768819,CONICVILLE
59724,MT,387,-112.950401,44.95877,DELL
93444,CA,11070,-120.489413,35.029806,NIPOMO
79839,TX,1108,-105.823448,31.296887,FORT HANCOCK
59715,MT,31218,-111.043057,45.669269,BOZEMAN
31794,GA,27906,-83.498867,31.451722,ABAC
59701,MT,33096,-112.517807,45.991579,WALKERVILLE
59645,MT,1476,-110.934413,46.566323,WHITE SULPHUR SP
59639,MT,1015,-112.66514,46.957458,LINCOLN
59635,MT,3901,-111.905089,46.597324,EAST HELENA
84123,UT,27766,-111.919483,40.660479,MURRAY
70510,LA,21018,-92.142655,29.958828,FORKED ISLAND
79382,TX,3101,-102.026101,33.530381,WOLFFORTH
59634,MT,3496,-111.992565,46.474492,MONTANA CITY
59545,MT,269,-111.107512,48.911037,WHITLASH
66543,KS,849,-95.581278,38.669127,VASSAR
59540,MT,476,-110.555235,48.586001,RUDYARD
92024,CA,45995,-117.26891,33.053469,ENCINITAS
59531,MT,496,-110.79145,48.649795,JOPLIN
76060,TX,5362,-97.213853,32.64316,KENNEDALE
21872,MD,758,-75.288868,38.404169,WHALEYSVILLE
59530,MT,231,-110.68796,48.593009,INVERNESS
65570,MO,210,-92.003621,37.480533,SUCCESS
50126,IA,7714,-93.270943,42.513756,IOWA FALLS
59529,MT,143,-108.667704,48.857071,HOGELAND
59528,MT,333,-110.427548,48.587029,HINGHAM
59526,MT,1177,-108.769253,48.539802,HARLEM
75693,TX,5887,-94.862115,32.537232,CLARKSVILLE CITY
59523,MT,2607,-109.22246,48.57985,CHINOOK
62515,IL,797,-89.388846,39.847201,BUFFALO HART
74604,OK,9327,-97.045443,36.729916,PONCA CITY
37820,TN,5751,-83.567253,36.081037,NEW MARKET
59522,MT,1530,-110.97982,48.454125,CHESTER
12972,NY,5640,-73.529322,44.585109,PERU
59489,MT,376,-109.340931,47.589903,WINIFRED
65463,MO,892,-92.738202,37.83456,ELDRIDGE
59484,MT,349,-112.020436,48.971305,SWEETGRASS
65325,MO,2570,-93.191529,38.453124,COLE CAMP
78238,TX,20840,-98.615451,29.476833,LEON VALLEY
64790,MO,544,-94.229301,37.893023,WALKER
41839,KY,795,-82.901768,37.433125,MOUSIE
66775,KS,246,-95.138794,37.681111,STARK
59479,MT,966,-110.196111,47.14886,STANFORD
59474,MT,3375,-111.839122,48.503666,SHELBY
59472,MT,583,-111.16606,47.402117,SAND COULEE
59468,MT,862,-111.716898,47.679846,POWER
55307,MN,2997,-94.076195,44.615279,ARLINGTON
59465,MT,58,-110.732827,46.939086,NEIHART
59463,MT,150,-110.871027,47.07223,MONARCH
59456,MT,42,-111.756384,48.277569,LEDGER
93239,CA,1762,-119.964361,36.021501,KETTLEMAN CITY
59453,MT,303,-109.675475,46.662301,JUDITH GAP
80127,CO,23204,-105.132811,39.591968,LITTLETON
59451,MT,719,-109.456246,47.269546,HILGER
59440,MT,188,-111.121384,47.658441,FLOWEREE
19046,PA,14402,-75.117273,40.100477,MEADOWBROOK
61606,IL,10299,-89.612189,40.698926,PEORIA
82510,WY,605,-108.494134,42.967936,ARAPAHOE
59436,MT,1598,-112.001502,47.614255,FAIRFIELD
64767,MO,439,-94.304632,37.744559,MILO
59434,MT,35,-113.317304,48.45998,EAST GLACIER PAR
59433,MT,710,-111.689967,47.860082,DUTTON
56162,MN,221,-94.687255,43.861639,ORMSBY
59427,MT,5249,-112.365354,48.660284,CUT BANK
67144,KS,2598,-96.991769,37.800506,TOWANDA
13411,NY,2569,-75.347406,42.622414,NEW BERLIN
54813,WI,804,-92.019595,45.618995,BARRONETT
59424,MT,175,-110.052784,47.339642,COFFEE CREEK
